E,counts
0.5,1.46522e+14
1.5,2.71923e+14
2.5,2.60245e+14
3.5,2.40725e+14
4.5,2.03256e+14
5.5,1.5793e+14
6.5,1.55568e+14
7.5,1.41915e+14
8.5,1.32137e+14
9.5,1.28023e+14
10.5,1.282e+14
11.5,1.23167e+14
12.5,1.18861e+14
13.5,1.14031e+14
14.5,1.13382e+14
15.5,1.07226e+14
16.5,1.08212e+14
17.5,1.049e+14
18.5,1.03091e+14
19.5,9.80103e+13
20.5,9.54056e+13
21.5,9.8444e+13
22.5,9.4688e+13
23.5,9.26365e+13
24.5,8.91944e+13
25.5,9.13429e+13
26.5,8.91109e+13
27.5,8.45796e+13
28.5,8.21437e+13
29.5,8.16674e+13
30.5,8.24589e+13
31.5,7.99228e+13
32.5,7.96302e+13
33.5,7.51397e+13
34.5,7.93999e+13
35.5,7.30067e+13
36.5,6.95438e+13
37.5,6.67934e+13
38.5,6.95244e+13
39.5,6.47459e+13
40.5,6.32251e+13
41.5,6.27714e+13
42.5,6.11794e+13
43.5,6.06669e+13
44.5,6.23974e+13
45.5,5.60372e+13
46.5,5.62016e+13
47.5,5.76001e+13
48.5,5.52257e+13
49.5,5.17563e+13
50.5,5.08115e+13
51.5,4.75214e+13
52.5,4.86306e+13
53.5,4.348e+13
54.5,4.68801e+13
55.5,4.32839e+13
56.5,4.07969e+13
57.5,4.12376e+13
58.5,4.00339e+13
59.5,3.94599e+13
60.5,3.48528e+13
61.5,3.41177e+13
62.5,3.50043e+13
63.5,3.15097e+13
64.5,3.44121e+13
65.5,3.28952e+13
66.5,3.07674e+13
67.5,2.9862e+13
68.5,2.74999e+13
69.5,2.83716e+13
70.5,2.6645e+13
71.5,2.35148e+13
72.5,2.33873e+13
73.5,2.52524e+13
74.5,2.22962e+13
75.5,2.03897e+13
76.5,2.122e+13
77.5,2.15876e+13
78.5,2.00765e+13
79.5,1.83745e+13
80.5,1.78328e+13
81.5,1.84832e+13
82.5,1.90812e+13
83.5,1.52682e+13
84.5,1.59076e+13
85.5,1.50171e+13
86.5,1.39804e+13
87.5,1.47789e+13
88.5,1.28951e+13
89.5,1.34031e+13
90.5,1.24e+13
91.5,1.27844e+13
92.5,1.16014e+13
93.5,1.32064e+13
94.5,1.12643e+13
95.5,9.22834e+12
96.5,9.34482e+12
97.5,9.63151e+12
98.5,9.06914e+12
99.5,8.88729e+12
100.5,8.97417e+12
101.5,7.74007e+12
102.5,8.50508e+12
103.5,8.48312e+12
104.5,7.38187e+12
105.5,7.72387e+12
106.5,8.13248e+12
107.5,6.91459e+12
108.5,5.85366e+12
109.5,6.13734e+12
110.5,6.40302e+12
111.5,5.84934e+12
112.5,5.7165e+12
113.5,5.23517e+12
114.5,4.63324e+12
115.5,4.74593e+12
116.5,4.47808e+12
117.5,4.56664e+12
118.5,4.13788e+12
119.5,4.39564e+12
120.5,4.5346e+12
121.5,4.96337e+12
122.5,4.47412e+12
123.5,2.48474e+12
124.5,3.05463e+12
125.5,2.92971e+12
126.5,2.86743e+12
127.5,2.62154e+12
128.5,3.22167e+12
129.5,2.64387e+12
130.5,3.41499e+12
131.5,2.57943e+12
132.5,2.42426e+12
133.5,1.9451e+12
134.5,1.95914e+12
135.5,1.56062e+12
136.5,2.22698e+12
137.5,1.8263e+12
138.5,1.8605e+12
139.5,2.11034e+12
140.5,1.5887e+12
141.5,1.59878e+12
142.5,1.60886e+12
143.5,1.60669e+12
144.5,1.7075e+12
145.5,1.28269e+12
146.5,1.05913e+12
147.5,7.43047e+11
148.5,1.45189e+12
149.5,9.20169e+11
150.5,1.16785e+12
151.5,9.7057e+11
152.5,1.38529e+12
153.5,1.26253e+12
154.5,9.20169e+11
155.5,6.58446e+11
156.5,1.02493e+12
157.5,1.11349e+12
158.5,7.26847e+11
159.5,6.82566e+11
160.5,5.19485e+11
161.5,8.55728e+11
162.5,7.26847e+11
163.5,3.66484e+11
164.5,6.18126e+11
165.5,8.89928e+11
166.5,4.16884e+11
167.5,4.30924e+11
168.5,2.43723e+11
169.5,2.77923e+11
170.5,6.28206e+11
171.5,4.85285e+11
172.5,4.20844e+11
173.5,3.66484e+11
174.5,4.55044e+11
175.5,4.10764e+11
176.5,3.46323e+11
177.5,2.81883e+11
178.5,2.71802e+11
179.5,2.91963e+11
180.5,1.73162e+11
181.5,2.71802e+11
182.5,2.37602e+11
183.5,2.81883e+11
184.5,9.46811e+10
185.5,1.73162e+11
186.5,8.4601e+10
187.5,1.93322e+11
188.5,2.27522e+11
189.5,1.38961e+11
190.5,1.63081e+11
191.5,1.93322e+11
192.5,1.24922e+11
193.5,1.49042e+11
194.5,1.83242e+11
195.5,1.73162e+11
196.5,5.43605e+10
197.5,1.73162e+11
198.5,5.43605e+10
199.5,1.18801e+11
200.5,1.00802e+10
201.5,1.08721e+11
202.5,1.00802e+10
203.5,5.43605e+10
204.5,1.63081e+11
205.5,1.08721e+11
206.5,1.28881e+11
207.5,8.4601e+10
208.5,1.28881e+11
209.5,5.43605e+10
210.5,0
211.5,1.00802e+10
212.5,1.08721e+11
213.5,0
214.5,1.00802e+10
215.5,0
216.5,5.43605e+10
217.5,5.43605e+10
218.5,0
219.5,6.44407e+10
220.5,1.00802e+10
221.5,1.00802e+10
222.5,1.00802e+10
223.5,6.44407e+10
224.5,5.43605e+10
225.5,0
226.5,1.00802e+10
227.5,0
228.5,5.43605e+10
229.5,0
230.5,0
231.5,0
232.5,1.00802e+10
233.5,5.43605e+10
234.5,0
235.5,0
236.5,0
237.5,1.00802e+10
238.5,0
239.5,0
240.5,0
241.5,0
242.5,0
243.5,0
244.5,0
245.5,0
246.5,0
247.5,2.01603e+10
248.5,0
249.5,0
250.5,0
251.5,0
252.5,0
253.5,1.00802e+10
254.5,0
255.5,7.45208e+10
256.5,0
257.5,0
258.5,0
259.5,0
260.5,0
261.5,0
262.5,0
263.5,0
264.5,0
265.5,0
266.5,0
267.5,0
268.5,0
269.5,0
270.5,0
271.5,0
272.5,0
273.5,0
274.5,0
275.5,0
276.5,0
277.5,0
278.5,0
279.5,0
280.5,0
281.5,0
282.5,0
283.5,0
284.5,0
285.5,0
286.5,0
287.5,0
288.5,0
289.5,0
290.5,0
291.5,0
292.5,0
293.5,0
294.5,0
295.5,0
296.5,0
297.5,0
298.5,0
299.5,0
300.5,0
301.5,0
302.5,0
303.5,0
304.5,0
305.5,0
306.5,0
307.5,0
308.5,0
309.5,0
310.5,0
311.5,0
312.5,0
313.5,0
314.5,0
315.5,0
316.5,0
317.5,0
318.5,0
319.5,0
320.5,0
321.5,0
322.5,0
323.5,0
324.5,0
325.5,0
326.5,0
327.5,0
328.5,0
329.5,0
330.5,0
331.5,0
332.5,0
333.5,0
334.5,0
335.5,0
336.5,0
337.5,0
338.5,0
339.5,0
340.5,0
341.5,0
342.5,0
343.5,0
344.5,0
345.5,0
346.5,0
347.5,0
348.5,0
349.5,0
350.5,0
351.5,0
352.5,0
353.5,0
354.5,0
355.5,0
356.5,0
357.5,0
358.5,0
359.5,0
360.5,0
361.5,0
362.5,0
363.5,0
364.5,0
365.5,0
366.5,0
367.5,0
368.5,0
369.5,0
370.5,0
371.5,0
372.5,0
373.5,0
374.5,0
375.5,0
376.5,0
377.5,0
378.5,0
379.5,0
380.5,0
381.5,0
382.5,0
383.5,0
384.5,0
385.5,0
386.5,0
387.5,0
388.5,0
389.5,0
390.5,0
391.5,0
392.5,0
393.5,0
394.5,0
395.5,0
396.5,0
397.5,0
398.5,0
399.5,0
