E,counts
0.5,7.15169e+15
1.5,7.72241e+15
2.5,4.72326e+15
3.5,3.27939e+15
4.5,2.48149e+15
5.5,2.08818e+15
6.5,1.71469e+15
7.5,1.42027e+15
8.5,1.22767e+15
9.5,1.02571e+15
10.5,1.19831e+15
11.5,1.05851e+15
12.5,9.26325e+14
13.5,8.25382e+14
14.5,7.42987e+14
15.5,6.68805e+14
16.5,6.08474e+14
17.5,5.56886e+14
18.5,5.00029e+14
19.5,4.67433e+14
20.5,4.28026e+14
21.5,3.93675e+14
22.5,3.66638e+14
23.5,3.41327e+14
24.5,3.22294e+14
25.5,2.98641e+14
26.5,2.8441e+14
27.5,2.65857e+14
28.5,2.56675e+14
29.5,2.35756e+14
30.5,2.27953e+14
31.5,2.08791e+14
32.5,2.02865e+14
33.5,1.9122e+14
34.5,1.85216e+14
35.5,1.73628e+14
36.5,1.66196e+14
37.5,1.5955e+14
38.5,1.43897e+14
39.5,1.47092e+14
40.5,1.38334e+14
41.5,1.28997e+14
42.5,1.23715e+14
43.5,1.21685e+14
44.5,1.15727e+14
45.5,1.10442e+14
46.5,1.0693e+14
47.5,1.03194e+14
48.5,9.71112e+13
49.5,9.09827e+13
50.5,9.20654e+13
51.5,8.49993e+13
52.5,8.05922e+13
53.5,7.8995e+13
54.5,7.57024e+13
55.5,7.30963e+13
56.5,7.21444e+13
57.5,6.85573e+13
58.5,6.69278e+13
59.5,6.22942e+13
60.5,5.94565e+13
61.5,5.68608e+13
62.5,5.52293e+13
63.5,5.5184e+13
64.5,5.04366e+13
65.5,5.31831e+13
66.5,4.68805e+13
67.5,4.67064e+13
68.5,4.39619e+13
69.5,4.13177e+13
70.5,4.09682e+13
71.5,3.86792e+13
72.5,3.52099e+13
73.5,3.36652e+13
74.5,3.32898e+13
75.5,3.25223e+13
76.5,3.28795e+13
77.5,2.91701e+13
78.5,2.87184e+13
79.5,2.92672e+13
80.5,2.78616e+13
81.5,2.44634e+13
82.5,2.38409e+13
83.5,2.57849e+13
84.5,2.36868e+13
85.5,2.18509e+13
86.5,2.23751e+13
87.5,2.03055e+13
88.5,2.02751e+13
89.5,1.8663e+13
90.5,1.77124e+13
91.5,1.6919e+13
92.5,1.43013e+13
93.5,1.684e+13
94.5,1.80761e+13
95.5,1.50267e+13
96.5,1.54875e+13
97.5,1.32846e+13
98.5,1.40942e+13
99.5,1.32561e+13
100.5,1.14161e+13
101.5,1.12656e+13
102.5,1.03728e+13
103.5,1.02904e+13
104.5,1.09531e+13
105.5,1.00304e+13
106.5,9.23302e+12
107.5,8.47414e+12
108.5,8.05905e+12
109.5,7.90785e+12
110.5,6.84656e+12
111.5,7.35992e+12
112.5,6.98336e+12
113.5,6.46963e+12
