E,counts
0.5,4.89244e+11
1.5,4.56628e+12
2.5,7.55611e+12
3.5,9.62181e+12
4.5,1.3427e+13
5.5,1.56558e+13
6.5,1.68518e+13
7.5,1.73954e+13
8.5,1.97329e+13
9.5,2.12006e+13
10.5,1.90805e+13
11.5,2.17986e+13
12.5,2.30489e+13
13.5,2.23965e+13
14.5,2.02221e+13
15.5,1.97329e+13
16.5,1.8102e+13
17.5,1.71779e+13
18.5,1.64712e+13
19.5,1.48948e+13
20.5,1.44599e+13
21.5,1.2666e+13
22.5,1.19049e+13
23.5,1.03285e+13
24.5,9.18692e+12
25.5,7.82791e+12
26.5,7.12123e+12
27.5,7.0125e+12
28.5,6.1971e+12
29.5,6.79506e+12
30.5,5.59913e+12
31.5,5.38169e+12
32.5,5.65349e+12
33.5,4.83808e+12
34.5,4.07704e+12
35.5,3.37035e+12
36.5,4.78372e+12
37.5,3.75087e+12
38.5,3.58779e+12
39.5,3.42471e+12
40.5,2.82675e+12
41.5,3.09855e+12
42.5,2.71802e+12
43.5,2.39186e+12
44.5,2.55494e+12
45.5,3.37035e+12
46.5,2.66366e+12
47.5,2.01134e+12
48.5,2.6093e+12
49.5,2.22878e+12
50.5,1.52209e+12
51.5,2.3375e+12
52.5,1.84826e+12
53.5,1.7939e+12
54.5,2.01134e+12
55.5,1.52209e+12
56.5,1.57645e+12
57.5,2.28314e+12
58.5,1.52209e+12
59.5,1.19593e+12
60.5,1.68518e+12
61.5,1.41337e+12
62.5,1.03285e+12
63.5,1.57645e+12
64.5,1.03285e+12
65.5,1.03285e+12
66.5,1.35901e+12
67.5,1.95698e+12
68.5,8.69768e+11
69.5,1.14157e+12
70.5,9.78489e+11
71.5,5.97965e+11
72.5,7.06686e+11
73.5,5.43605e+11
74.5,7.06686e+11
75.5,9.24128e+11
76.5,8.69768e+11
77.5,9.24128e+11
78.5,3.80523e+11
79.5,5.43605e+11
80.5,4.89244e+11
81.5,8.15407e+11
82.5,6.52326e+11
83.5,7.06686e+11
84.5,2.71802e+11
85.5,4.89244e+11
86.5,5.43605e+11
87.5,4.34884e+11
88.5,4.89244e+11
89.5,5.43605e+11
90.5,2.17442e+11
91.5,2.17442e+11
92.5,4.34884e+11
93.5,3.26163e+11
94.5,2.17442e+11
95.5,2.17442e+11
96.5,2.71802e+11
97.5,2.17442e+11
98.5,3.80523e+11
99.5,2.17442e+11
100.5,2.17442e+11
101.5,1.63081e+11
102.5,4.34884e+11
103.5,1.63081e+11
104.5,3.26163e+11
105.5,1.08721e+11
106.5,1.08721e+11
107.5,5.43605e+10
108.5,1.08721e+11
109.5,1.63081e+11
110.5,1.08721e+11
111.5,3.26163e+11
112.5,3.26163e+11
113.5,2.71802e+11
114.5,3.26163e+11
115.5,5.43605e+10
116.5,1.08721e+11
117.5,2.17442e+11
118.5,5.43605e+10
119.5,2.71802e+11
120.5,2.71802e+11
121.5,1.08721e+11
122.5,5.43605e+10
123.5,1.08721e+11
124.5,5.43605e+10
125.5,5.43605e+10
126.5,1.08721e+11
127.5,1.08721e+11
128.5,1.08721e+11
129.5,0
130.5,0
131.5,1.08721e+11
132.5,0
133.5,5.43605e+10
134.5,0
135.5,5.43605e+10
136.5,1.63081e+11
137.5,1.08721e+11
138.5,0
139.5,0
140.5,0
141.5,0
142.5,5.43605e+10
143.5,1.08721e+11
144.5,5.43605e+10
145.5,1.08721e+11
146.5,1.08721e+11
147.5,5.43605e+10
148.5,5.43605e+10
149.5,0
150.5,5.43605e+10
151.5,0
152.5,0
153.5,0
154.5,5.43605e+10
155.5,0
156.5,0
157.5,5.43605e+10
158.5,0
159.5,5.43605e+10
160.5,0
161.5,0
162.5,0
163.5,0
164.5,0
165.5,0
166.5,0
167.5,0
168.5,0
169.5,0
170.5,0
171.5,0
172.5,0
173.5,5.43605e+10
174.5,0
175.5,0
176.5,0
177.5,0
178.5,0
179.5,5.43605e+10
180.5,0
181.5,0
182.5,0
183.5,0
184.5,0
185.5,0
186.5,5.43605e+10
187.5,0
188.5,0
189.5,0
190.5,0
191.5,0
192.5,0
193.5,0
194.5,0
195.5,0
196.5,0
197.5,0
198.5,0
199.5,0
200.5,0
201.5,0
202.5,0
203.5,0
204.5,0
205.5,0
206.5,0
207.5,0
208.5,0
209.5,0
210.5,0
211.5,0
212.5,0
213.5,0
214.5,0
215.5,0
216.5,0
217.5,0
218.5,0
219.5,0
220.5,0
221.5,0
222.5,0
223.5,0
224.5,0
225.5,0
226.5,0
227.5,0
228.5,0
229.5,0
230.5,0
231.5,0
232.5,0
233.5,0
234.5,5.43605e+10
235.5,0
236.5,0
237.5,0
238.5,0
239.5,0
240.5,0
241.5,0
242.5,0
243.5,0
244.5,0
245.5,0
246.5,0
247.5,0
248.5,0
249.5,0
250.5,0
251.5,0
252.5,0
253.5,0
254.5,0
255.5,0
256.5,0
257.5,0
258.5,0
259.5,0
260.5,0
261.5,0
262.5,0
263.5,0
264.5,0
265.5,0
266.5,0
267.5,0
268.5,0
269.5,0
270.5,0
271.5,0
272.5,0
273.5,0
274.5,0
275.5,0
276.5,0
277.5,0
278.5,0
279.5,0
280.5,0
281.5,0
282.5,0
283.5,0
284.5,0
285.5,0
286.5,0
287.5,0
288.5,0
289.5,0
290.5,0
291.5,0
292.5,0
293.5,0
294.5,0
295.5,0
296.5,0
297.5,0
298.5,0
299.5,0
300.5,0
301.5,0
302.5,0
303.5,0
304.5,0
305.5,0
306.5,0
307.5,0
308.5,0
309.5,0
310.5,0
311.5,0
312.5,0
313.5,0
314.5,0
315.5,0
316.5,0
317.5,0
318.5,0
319.5,0
320.5,0
321.5,0
322.5,0
323.5,0
324.5,0
325.5,0
326.5,0
327.5,0
328.5,0
329.5,0
330.5,0
331.5,0
332.5,0
333.5,0
334.5,0
335.5,0
336.5,0
337.5,0
338.5,0
339.5,0
340.5,0
341.5,0
342.5,0
343.5,0
344.5,0
345.5,0
346.5,0
347.5,0
348.5,0
349.5,0
350.5,0
351.5,0
352.5,0
353.5,0
354.5,0
355.5,0
356.5,0
357.5,0
358.5,0
359.5,0
360.5,0
361.5,0
362.5,0
363.5,0
364.5,0
365.5,0
366.5,0
367.5,0
368.5,0
369.5,0
370.5,0
371.5,0
372.5,0
373.5,0
374.5,0
375.5,0
376.5,0
377.5,0
378.5,0
379.5,0
380.5,0
381.5,0
382.5,0
383.5,0
384.5,0
385.5,0
386.5,0
387.5,0
388.5,0
389.5,0
390.5,0
391.5,0
392.5,0
393.5,0
394.5,0
395.5,0
396.5,0
397.5,0
398.5,0
399.5,0
